symbol,cik,name,sector,industry
MMM,0000066740,"3M","Industrials","Industrials"
AOS,0000091142,"A. O. Smith","Industrials","Building Products"
ABT,0000001800,"Abbott Laboratories","Health Care","Health Care Equipment"
ABBV,0001551152,"AbbVie","Health Care","Biotechnology"
ACN,0001467373,"Accenture","Information Technology","Information Technology"
ADBE,0000796343,"Adobe Inc.","Information Technology","Application Software"
AMD,0000002488,"Advanced Micro Devices","Information Technology","Semiconductors"
AES,0000874761,"AES Corporation","Utilities","Utilities"
AFL,0000004977,"Aflac","Financials","Financials"
A,0001090872,"Agilent Technologies","Health Care","Life Sciences Tools & Services"
APD,0000002969,"Air Products","Materials","Materials"
ABNB,0001559720,"Airbnb","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
AKAM,0001086222,"Akamai Technologies","Information Technology","Information Technology"
ALB,0000915913,"Albemarle Corporation","Materials","Materials"
ARE,0001035443,"Alexandria Real Estate Equities","Real Estate","Real Estate"
ALGN,0001097149,"Align Technology","Health Care","Health Care"
ALLE,0001579241,"Allegion","Industrials","Building Products"
LNT,0000352541,"Alliant Energy","Utilities","Electric Utilities"
ALL,0000899051,"Allstate","Financials","Property & Casualty Insurance"
GOOGL,0001652044,"Alphabet Inc. (Class A)","Communication Services","Communication Services"
GOOG,0001652044,"Alphabet Inc. (Class C)","Communication Services","Communication Services"
MO,0000764180,"Altria","Consumer Staples","Consumer Staples"
AMZN,0001018724,"Amazon","Consumer Discretionary","Consumer Discretionary"
AMCR,0001748790,"Amcor","Materials","Materials"
AEE,0001002910,"Ameren","Utilities","Multi-Utilities"
AEP,0000004904,"American Electric Power","Utilities","Electric Utilities"
AXP,0000004962,"American Express","Financials","Financials"
AIG,0000005272,"American International Group","Financials","Financials"
AMT,0001053507,"American Tower","Real Estate","Real Estate"
AWK,0001410636,"American Water Works","Utilities","Utilities"
AMP,0000820027,"Ameriprise Financial","Financials","Asset Management & Custody Banks"
AME,0001037868,"Ametek","Industrials","Industrials"
AMGN,0000318154,"Amgen","Health Care","Biotechnology"
APH,0000820313,"Amphenol","Information Technology","Information Technology"
ADI,0000006281,"Analog Devices","Information Technology","Semiconductors"
AON,0000315293,"Aon plc","Financials","Financials"
APA,0001841666,"APA Corporation","Energy","Oil & Gas Exploration & Production"
APO,0001858681,"Apollo Global Management","Financials","Asset Management & Custody Banks"
AAPL,0000320193,"Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals"
AMAT,0000006951,"Applied Materials","Information Technology","Information Technology"
APP,0001751008,"AppLovin","Communication Services","Communication Services"
APTV,0001521332,"Aptiv","Consumer Discretionary","Consumer Discretionary"
ACGL,0000947484,"Arch Capital Group","Financials","Property & Casualty Insurance"
ADM,0000007084,"Archer Daniels Midland","Consumer Staples","Consumer Staples"
ARES,0001176948,"Ares Management","Financials","Asset Management & Custody Banks"
ANET,0001596532,"Arista Networks","Information Technology","Information Technology"
AJG,0000354190,"Arthur J. Gallagher & Co.","Financials","Financials"
AIZ,0001267238,"Assurant","Financials","Financials"
T,0000732717,"AT&T","Communication Services","Communication Services"
ATO,0000731802,"Atmos Energy","Utilities","Utilities"
ADSK,0000769397,"Autodesk","Information Technology","Application Software"
ADP,0000008670,"Automatic Data Processing","Industrials","Industrials"
AZO,0000866787,"AutoZone","Consumer Discretionary","Consumer Discretionary"
AVY,0000008818,"Avery Dennison","Materials","Materials"
AXON,0001069183,"Axon Enterprise","Industrials","Aerospace & Defense"
BKR,0001701605,"Baker Hughes","Energy","Energy"
BALL,0000009389,"Ball Corporation","Materials","Materials"
BAC,0000070858,"Bank of America","Financials","Financials"
BAX,0000010456,"Baxter International","Health Care","Health Care Equipment"
BDX,0000010795,"Becton Dickinson","Health Care","Health Care Equipment"
BRK-B,0001067983,"Berkshire Hathaway","Financials","Financials"
BBY,0000764478,"Best Buy","Consumer Discretionary","Consumer Discretionary"
TECH,0000842023,"Bio-Techne","Health Care","Life Sciences Tools & Services"
BIIB,0000875045,"Biogen","Health Care","Biotechnology"
BLK,0002012383,"BlackRock","Financials","Asset Management & Custody Banks"
BX,0001393818,"Blackstone Inc.","Financials","Asset Management & Custody Banks"
XYZ,0001512673,"Block, Inc.","Financials","Transaction & Payment Processing Services"
BNY,0001390777,"BNY Mellon","Financials","Asset Management & Custody Banks"
BA,0000012927,"Boeing","Industrials","Aerospace & Defense"
BKNG,0001075531,"Booking Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
BSX,0000885725,"Boston Scientific","Health Care","Health Care Equipment"
BMY,0000014272,"Bristol Myers Squibb","Health Care","Health Care"
AVGO,0001730168,"Broadcom","Information Technology","Semiconductors"
BR,0001383312,"Broadridge Financial Solutions","Industrials","Industrials"
BRO,0000079282,"Brown & Brown","Financials","Financials"
BF-B,0000014693,"Brown–Forman","Consumer Staples","Consumer Staples"
BLDR,0001316835,"Builders FirstSource","Industrials","Building Products"
BG,0001996862,"Bunge Global","Consumer Staples","Consumer Staples"
