date,symbol,open,high,low,close,volume,dollar_volume
2020-01-02,A,82.0049,82.4345,81.3366,82.0526,1410500,121232471
2020-01-02,AAPL,71.2826,72.3317,71.0299,72.2716,135480400,10172884742
2020-01-02,ABBV,67.8527,68.226,67.4186,68.2107,5639200,504990377
2020-01-02,ABT,75.9952,76.7899,75.7656,76.7811,4969000,432054535
2020-01-02,ACGL,40.8981,41.269,40.7745,41.269,1376700,59748782
2020-01-02,ACN,189.2653,190.2168,187.4253,188.628,2431100,510895650
2020-01-02,ADBE,330,334.48,329.17,334.43,1990100,665549128
2020-01-02,ADI,107.2116,107.6936,105.9887,107.4972,1279300,154066099
2020-01-02,ADM,38.3952,38.4529,37.8263,38.0159,3081000,142064912
2020-01-02,ADP,148.9568,148.9915,146.566,147.5362,1364600,232418682
2020-01-02,ADSK,184.21,187.89,181.88,187.83,1515000,284562453
2020-01-02,AEE,63.8913,64.0242,62.9115,63.1523,1460900,111101449
2020-01-02,AEP,74.4868,74.5341,73.2887,73.6671,1779700,166330760
2020-01-02,AES,15.4922,15.593,15.4223,15.5387,3069900,61490099
2020-01-02,AFL,45.234,45.5155,45.0464,45.4984,3363200,179426715
2020-01-02,AIG,43.6341,43.8284,43.2961,43.7355,3104600,160694091
2020-01-02,AIZ,117.2533,118.0289,116.9234,118.0021,332800,44049408
2020-01-02,AJG,88.5717,88.8033,87.6546,88.4791,724500,69196997
2020-01-02,AKAM,86.84,87.83,86.53,87.64,1079900,94642435
2020-01-02,ALB,67.7817,68.1321,66.5736,66.9609,1620800,117686289
2020-01-02,ALGN,281.2,284.14,278.61,283.68,789700,224022090
2020-01-02,ALL,96.7692,96.7949,95.6471,96.6407,1212400,136782968
2020-01-02,ALLE,114.5972,115.1482,113.3666,115.1482,572400,71773236
2020-01-02,AMAT,58.3756,58.9876,58.0932,58.564,6647900,413499385
2020-01-02,AMCR,41.1683,41.2818,40.1845,40.2223,2005940,106615714
2020-01-02,AMD,46.86,49.25,46.63,49.1,80331100,3944256887
2020-01-02,AME,95.904,96.5265,95.2241,96.5265,1108200,111706563
2020-01-02,AMGN,197.9676,198.1223,194.6925,195.605,2088000,501328813
2020-01-02,AMP,149.6279,151.1462,148.8688,151.1372,822100,139123979
2020-01-02,AMT,190.8905,192.1122,189.5025,189.9098,1426000,325841000
2020-01-02,AMZN,93.75,94.9005,93.2075,94.9005,80580000,7647082083
2020-01-02,ANET,12.855,12.9522,12.6938,12.795,9992000,127847641
2020-01-02,AON,198.7192,199.3651,197.4748,198.3297,830100,173316573
2020-01-02,AOS,42.1803,42.242,41.564,42.0571,1093200,52222165
2020-01-02,APA,21.6647,21.8586,21.1842,21.3781,3395100,86099738
2020-01-02,APD,200.8579,202.1813,197.0926,197.3488,1320500,305220369
2020-01-02,APH,25.5218,25.7172,25.3758,25.7172,4686000,127962949
2020-01-02,APO,40.0894,40.2989,39.7876,39.9469,1376400,65599224
2020-01-02,APTV,95.6966,96.0956,94.769,96.0657,1655300,159421939
2020-01-02,ARE,124.6706,125.0478,122.0452,122.9768,1094900,174888372
2020-01-02,ARES,28.9295,28.9739,28.3482,28.6954,506500,18001010
2020-01-02,ATO,94.9217,94.9217,92.702,93.5154,906900,100103620
2020-01-02,AVGO,27.3706,27.6432,27.1992,27.6338,20329000,655386599
2020-01-02,AVY,117.3599,118.0023,114.9954,115.379,699300,90426481
2020-01-02,AWK,107.5673,107.7072,104.5764,105.1186,1618900,194591775
2020-01-02,AXON,74.02,76.62,73.34,76.56,849400,65030062
2020-01-02,AXP,114.6026,116.0827,114.2073,115.6966,2708000,340801796
2020-01-02,AZO,1194.86,1197.58,1179.61,1189.74,212200,252462826
